Timestamp,Score,1. Are you a (select all that apply):,"2. If you are a grower, do you use a consultant? (If you are not a grower, please ignore this questions). ","3. How many soybean acres do you typically plant? (If you are not a grower, please ignore this question).","4. If you are a consultant, how many total acres of crops are you responsible for? (If you are not a consultant, please ignore this question)","5. Do you rent machinery to spray insecticides in your soybean fields? (If you are not a farmer, please ignore this question)",6. Do you measure defoliation in your field or in the fields that you are responsible for?,"7 - If your entire field was uniformly like the trifoliate below, circle what you believe is the defoliation level. ","8 - If your field was in reproductive growth stages (blooms or pods present), and you found the trifoliates through the canopy like this, would you spray it?","9 - If your entire field was uniformly like the trifoliate below, circle what you believe is the defoliation level. ","10 - If your field was in reproductive growth stages (blooms or pods present), and you found the trifoliates through the canopy like this, would you spray it?","11 - If your entire field was uniformly like the trifoliate below, circle what you believe is the defoliation level. ","12 - If your field was in reproductive growth stages (blooms or pods present), and you found the trifoliates through the canopy like this, would you spray it?","13 - If your entire field was uniformly like the trifoliate below, circle what you believe is the defoliation level. ","14 - If your field was in reproductive growth stages (blooms or pods present), and you found the trifoliates through the canopy like this, would you spray it?","15 - If your entire field was uniformly like the trifoliate below, circle what you believe is the defoliation level. ","16 - If your field was in reproductive growth stages (blooms or pods present), and you found the trifoliates through the canopy like this, would you spray it?","17 - If your entire field was uniformly like the trifoliate below, circle what you believe is the defoliation level. ","18 - If your field was in reproductive growth stages (blooms or pods present), and you found the trifoliates through the canopy like this, would you spray it?",Which event was this form distributed at?
6/17/2024 13:25:45,,"Grower, Extension personell",No,250 - 1000,,No,Yes,0 - 17%,No,18 - 33%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,18 - 33%,Yes,"Extension Ag training - RM, Jun 16th"
6/17/2024 13:27:22,,Extension personell,,,,,,0 - 17%,No,18 - 33%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,18 - 33%,Yes,"Extension Ag training - RM, Jun 16th"
6/17/2024 13:28:57,,Extension personell,,,,,,18 - 33%,No,34 - 66%,Yes,0 - 17%,No,67 - 100%,Yes,0 - 17%,No,34 - 66%,Yes,"Extension Ag training - RM, Jun 16th"
6/17/2024 13:30:56,,Other,,,,,Yes,18 - 33%,Yes,34 - 66%,Yes,0 - 17%,No,67 - 100%,Yes,0 - 17%,No,18 - 33%,Yes,"Extension Ag training - RM, Jun 16th"
6/20/2024 19:46:26,,Extension personell,,,,,No,0 - 17%,No,0 - 17%,No,0 - 17%,No,18 - 33%,Yes,0 - 17%,No,0 - 17%,No,"Extension Ag training - RM, Jun 16th"
6/20/2024 19:48:19,,Extension personell,,,,,Yes,0 - 17%,No,18 - 33%,No,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,18 - 33%,No,"Extension Ag training - RM, Jun 16th"
6/20/2024 19:50:37,,Other,,,,,,0 - 17%,Yes,18 - 33%,Yes,0 - 17%,Yes,34 - 66%,No,0 - 17%,Yes,18 - 33%,Yes,"Extension Ag training - RM, Jun 16th"
6/20/2024 19:52:33,,Other,,,,,,0 - 17%,Yes,34 - 66%,Yes,0 - 17%,No,67 - 100%,Yes,0 - 17%,No,18 - 33%,Yes,"Extension Ag training - RM, Jun 16th"
6/20/2024 19:54:45,,Other,,,,,,0 - 17%,Yes,18 - 33%,No,0 - 17%,No,0 - 17%,Yes,18 - 33%,No,18 - 33%,Yes,"Extension Ag training - RM, Jun 16th"
6/20/2024 19:56:54,,Other,,,,,,18 - 33%,Yes,34 - 66%,Yes,0 - 17%,Yes,34 - 66%,No,18 - 33%,Yes,34 - 66%,No,"Extension Ag training - RM, Jun 16th"
6/20/2024 19:58:29,,Extension personell,,,,,,0 - 17%,No,0 - 17%,No,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,0 - 17%,No,"Extension Ag training - RM, Jun 16th"
6/20/2024 20:00:02,,Extension personell,,,,,,0 - 17%,Yes,18 - 33%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,,,"Extension Ag training - RM, Jun 16th"
6/20/2024 20:01:32,,Extension personell,,,,,,0 - 17%,No,18 - 33%,No,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,18 - 33%,Yes,"Extension Ag training - RM, Jun 16th"
